S_No,Lead Owner,Saletancy ID,Company,First Name,Last Name,Title,Email,Phone,Direct Phone,Mobile,Website,Industry,Sub Industry,Lead Source,Lead Status,Description,Revenue range,Employee range,Address,City,State,Pincode,Country,Skype ID,Secondry,LinkedIn ID,Notes,,
,,scrm_3102017045,Avon Beauty Products India Private Limited,Nandita Johar,Kitzman,CEO,Chau-kitzman0@gmail.com,120,120,9651123456,http://www.bentonjohnbjr.com,,,,,,,,4Th Floor Tower - C Global Business Prak,Orleans,Hey people,Chau-kitzman,Mr,None,0000-00-00 00:00:00,https://www.linkedin,None,10-100 Cr,500-1000 Cr
,,scrm_3102017046,Floor & Furnishing,Mr. Nakul Khandelwal,Adhikari,CEO,amanadhikari2@gmail.com,2147483647,2147483647,9557672252,FKFNFNK,,,,,,,,S&F Tower Floor No 42 Sec 32 Industrial Area,India,Dev,Aman Adhikari,Mr,none,3/18/2018 6:00,dev,none,500-1000 Cr,100-250 Cr
,,scrm_3102017047,Yum Restaurants India Private Limited (Gurgaon),Mr. Niren  Chaudhary,Kitzman,Director,Chau-kitzman@gmail.com,120,120,9651,http://www.bentonjohnbjr.com,,,,,,,,"12Th Floor, Tower D Global Park -",Orleans,,Chau-kitzman,Mr.,,3/18/2018 17:25,https://www.linkedin,,,
,,scrm_3102017048,Aksasia Creations Pvt Ltd,Mr. Arvind Kumar Singh,Frey,Director,Theola-frey@frey.com,120,120,0,http://www.chanayjeffreyaesq.com,,,,,,,,"Plot no. 142-I, NSEZ, Phase 2",Livingston,,Theola-frey,Ms.,,3/18/2018 17:25,https://www.linkedin,,,
,,scrm_3102017049,Sara Trans Industries,Mr. Jasbeer Singh Chandhok,Haroldson,Director,Cheryl-haroldson@haroldson.org,120,120,7017,http://www.chemeljameslcpa.com,,,,,,,,"Plot No 76-77, NSEZ, Phase 2",Gloucester,,Cheryl-haroldson,Mr.,,3/18/2018 17:25,https://www.linkedin,,,
,,scrm_3102017050,De Core Science & Technologies Ltd,Mr. Deepak Loomba,Kitzman,Deputy General Manager - IT,3Chau-kitzman@gmail.com,120,120,9651,http://www.bentonjohnbjr.com,,,,,,,,"Plot No. 59-H(B), NSEZ, Phase 2",Orleans,,Chau-kitzman,Mr.,,3/18/2018 17:25,https://www.linkedin,,,
,,scrm_3102017051,Continental Hardware Pvt Ltd,Mr. Davinder singh,Frey,Director,2Theola-frey@frey.com,120,120,0,http://www.chanayjeffreyaesq.com,,,,,,,,"Polt No-59-J(D) , SDF: G-1, NSEZ, Phase 2",Livingston,,Theola-frey,Ms.,,3/18/2018 17:25,https://www.linkedin,,,
,,scrm_3102017052,Suparshva Swabs India,Mr. Rahul Jain,Haroldson,Director IT,1Cheryl-haroldson@haroldson.org,120,120,7017,http://www.chemeljameslcpa.com,,,,,,,,"Plot No. 129G/13 & SDF. No I-8 , NSEZ, Phase 2",Gloucester,,Cheryl-haroldson,Mr.,,3/18/2018 17:25,https://www.linkedin,,,
,,scrm_3102017053,Advance Valves Global,Mr. Pranay S. Garg,Kitzman,Director,Chau-kitzman@gmail.com,120,120,9651,http://www.bentonjohnbjr.com,,,,,,,,"Plot No  142 A & B, NSEZ, Phase 2",Orleans,,Chau-kitzman,Mr.,,3/22/2018 13:16,https://www.linkedin,,,
,,scrm_3102017054,Bhartiya Industries,Mr. Balbir Singh,Frey,Director,Theola-frey@frey.com,120,120,0,http://www.chanayjeffreyaesq.com,,,,,,,,"E-51, Sector 9 Noida",Livingston,,Theola-frey,Mr,,3/22/2018 13:16,https://www.linkedin,,Select,Select
,,scrm_3102017055,Knk Bag Manufacturing Co,Mr. Deepak Shingla,Haroldson,Director,Cheryl-haroldson@haroldson.org,120,120,7017,http://www.chemeljameslcpa.com,,,,,,,,"Plot No. 27 ,NSEZ ",Gloucester,,Cheryl-haroldson,Mr.,,3/22/2018 13:16,https://www.linkedin,,,
,,scrm_3102017056,Associated Lighting Co,Mr. Arjun Nath,Kitzman,Director IT,3Chau-kitzman@gmail.com,120,120,9651,http://www.bentonjohnbjr.com,,,,,,,,"Plot No-101 & 102 ,NSEZ ,Phase 2",Orleans,,Chau-kitzman,Mr.,,3/22/2018 13:16,https://www.linkedin,,,
,,scrm_3102017057,Guru Impex,Mr. Harsh Walia,Frey,Director,2Theola-frey@frey.com,120,120,0,http://www.chanayjeffreyaesq.com,,,,,,,,"Plot No-95, NSEZ , Noida",Livingston,,Theola-frey,Ms.,,3/22/2018 13:16,https://www.linkedin,,,
,,scrm_3102017058,Vibgyor International,Mr. Vibhor Gupta,Haroldson,Director,1Cheryl-haroldson@haroldson.org,120,120,7017,http://www.chemeljameslcpa.com,,,,,,,,"Plot No 173-174,NSEZ",Gloucester,,Cheryl-haroldson,Mr.,,3/22/2018 13:16,https://www.linkedin,,,
,,scrm_3102017059,Lakeland Gloves & Safety Apparel Pvt Ltd,Mr. Vishal Kumar,Kitzman,Director,Chau-kitzman@gmail.com,120,120,9651,http://www.bentonjohnbjr.com,,,,,,,,"B-42, NSEZ",Orleans,,Chau-kitzman,Mr.,,3/24/2018 14:45,https://www.linkedin,,,
,,scrm_3102017060,Kris Flexipacks Pvt Ltd,ANINDYA SENGUPTA,Frey,Chairman,Theola-frey@frey.com,120,120,0,http://www.chanayjeffreyaesq.com,,,,,,,,"Plot No 142A/55, 129G/45, NSEZ",Livingston,,Theola-frey,Ms.,,3/24/2018 14:45,https://www.linkedin,,,
,,scrm_3102017061,Sara-Trans Export Corp,Mr. Jasbeer Singh Chandok,Haroldson,Managing Director,Cheryl-haroldson@haroldson.org,120,120,7017,http://www.chemeljameslcpa.com,,,,,,,,"Plot No. 76-77, NSEZ",Gloucester,,Cheryl-haroldson,Mr.,,3/24/2018 14:45,https://www.linkedin,,,
,,scrm_3102017062,American Express (India) Pvt  Ltd ,Mr. Sanjay Kaul,Kitzman,Vice President Of Finance,3Chau-kitzman@gmail.com,120,120,9651,http://www.bentonjohnbjr.com,,,,,,,,"Cyber City, Tower-C, DLF Bldg. No.8 , Sector-25, DLF City Ph-II",Orleans,,Chau-kitzman,Mr.,,3/24/2018 14:45,https://www.linkedin,,,
,,scrm_3102017063,Action Constructions Equipment Private Limited,Sorab Agarwal,Frey,CEO,2Theola-frey@frey.com,120,120,0,http://www.chanayjeffreyaesq.com,,,,,,,,Dudhola Link Road Dudhola Distt Palwal  ,Livingston,,Theola-frey,Ms.,,3/24/2018 14:45,https://www.linkedin,,,
,,scrm_3102017064,Aero Traders Private Limited,Mr. Alok  Prakash,Haroldson,Chief Executive Officer,1Cheryl-haroldson@haroldson.org,120,120,7017,http://www.chemeljameslcpa.com,,,,,,,,No 2168 Gurdwara Road Karol Bagh,Gloucester,,Cheryl-haroldson,Mr.,,3/24/2018 14:45,https://www.linkedin,,,
,,scrm_3102017065,Aov International Private Limited,Mr. Rakesh Gautam,Kitzman,Vice President,Chau-kitzman@gmail.com,120,120,9651,http://www.bentonjohnbjr.com,,,,,,,,Sector - 59  ,Orleans,,Chau-kitzman,Mr.,,3/24/2018 14:45,https://www.linkedin,,,
,,scrm_3102017066,Aravali Printers & Publishers Private Limited,Mr. Madan  Goel,Frey,Managing Director,Theola-frey@frey.com,120,120,0,http://www.chanayjeffreyaesq.com,,,,,,,,"W - 30, Phase=Ii, Industrial Area, Near Nathu Sweets Okhla",Livingston,,Theola-frey,Ms.,,3/24/2018 14:45,https://www.linkedin,,,
,,scrm_3102017067,CK Birla Group,Mr. Puneesh Lamba,Haroldson,Client Technical Manager,Cheryl-haroldson@haroldson.org,120,120,7017,http://www.chemeljameslcpa.com,,,,,,,,"8th Floor, Birla Tower, 25, Barakhamba Road, New Delhi, Delhi 110001",Gloucester,,Cheryl-haroldson,Mr.,,3/24/2018 14:45,https://www.linkedin,,,
,,scrm_3102017068,Ballarpur Industries Limited,Mr. Vinit Thakur,Kitzman,Managing Director,3Chau-kitzman@gmail.com,120,120,9651,http://www.bentonjohnbjr.com,,,,,,,,"First India Place Tower C
mehrauli - Gurgaon Road",Orleans,,Chau-kitzman,Mr.,,3/24/2018 14:45,https://www.linkedin,,,
,,scrm_3102017069,Becton Dickinson,Mr.   Manoj Gopala Krishnan,Frey,Director Business Development,2Theola-frey@frey.com,120,120,0,http://www.chanayjeffreyaesq.com,,,,,,,,6th Floor Signature Tower B South City I Nh 8 .. ..,Livingston,,Theola-frey,Ms.,,3/24/2018 14:45,https://www.linkedin,,,
,,scrm_3102017070,Bharat Pumps & Compressors Limited,Mr. A K Jain,Haroldson,CEO,1Cheryl-haroldson@haroldson.org,120,120,7017,http://www.chemeljameslcpa.com,,,,,,,,Chander Mukhi Nariman Point  ,Gloucester,,Cheryl-haroldson,Mr.,,3/24/2018 14:45,https://www.linkedin,,,
,,scrm_3102017071,Bhilwara Spinners Limited,Mr. Nirmal Kumar Jain,Kitzman,Vice President - IT,Chau-kitzman@gmail.com,120,120,9651,http://www.bentonjohnbjr.com,,,,,,,,40 - 41 Bhilwara Bhawan Comm. Centre New Friends Colony,Orleans,,Chau-kitzman,Mr.,,3/30/2018 15:18,https://www.linkedin,,,
,,scrm_3102017072,Buisness Octane Private Limited,Mr. Dilip  Sharma,Frey,Vice President,Theola-frey@frey.com,120,120,0,http://www.chanayjeffreyaesq.com,,,,,,,,"15th Floor Building - 9a Dlf Cyber City, Phase - 3 ",Livingston,,Theola-frey,Ms.,,3/30/2018 15:18,https://www.linkedin,,,
,,scrm_3102017073,Centaur Group Of Hotels (Delhi),Mr. Pradeep  Garg,Haroldson,Managing Director,Cheryl-haroldson@haroldson.org,120,120,7017,http://www.chemeljameslcpa.com,,,,,,,,Indira Gandhi International Airport Gurgaon Road  ,Gloucester,,Cheryl-haroldson,Mr.,,3/30/2018 15:18,https://www.linkedin,,,
,,scrm_3102017074,Consolidated Products Corporation Private Limited,Mr. Sahgal  ,Kitzman,Chief Executive Officer,3Chau-kitzman@gmail.com,120,120,9651,http://www.bentonjohnbjr.com,,,,,,,,F - 1 / 8 Phase I Okhla Industrial Area ,Orleans,,Chau-kitzman,Mr.,,3/30/2018 15:18,https://www.linkedin,,,
,,scrm_3102017075,Dabur India Limited,Mr. Anand Burman  ,Frey,Vice President - Operations,2Theola-frey@frey.com,120,120,0,http://www.chanayjeffreyaesq.com,,,,,,,,Kaushambi,Livingston,,Theola-frey,Ms.,,3/30/2018 15:18,https://www.linkedin,,,
,,scrm_3102017076,Design For Manufacturing Foods Limited,Anuj Prasad,Haroldson,Director,1Cheryl-haroldson@haroldson.org,120,120,7017,http://www.chemeljameslcpa.com,,,,,,,,"8381, Roshan Ara Road ",Gloucester,,Cheryl-haroldson,Mr.,,3/30/2018 15:18,https://www.linkedin,,,
,,scrm_3102017077,Haryana Dairy Development Cooperative Federation Limited,Mr. Dhanpat  Singh,Kitzman,Director,Chau-kitzman@gmail.com,120,120,9651,http://www.bentonjohnbjr.com,,,,,,,,"Base No 21 - 22, Sahakarita Bhavan, Sec - 2",Orleans,,Chau-kitzman,Mr.,,3/30/2018 16:21,https://www.linkedin,,,
,,scrm_3102017078,Il & fs Transportation Networks Limted,Mr. Harish  Mathur,Frey,CEO,Theola-frey@frey.com,120,120,0,http://www.chanayjeffreyaesq.com,,,,,,,,"2nd Floor Mbs Corporate Office Tower, Ambiance Mall, Ambiance Iceland Nh-8",Livingston,,Theola-frey,Ms.,,3/30/2018 16:21,https://www.linkedin,,,
,,scrm_3102017079,Jbm Group,Mr. Mayank Verma,Haroldson,managing director,Cheryl-haroldson@haroldson.org,120,120,7017,http://www.chemeljameslcpa.com,,,,,,,,601 Hemkunt Chambers 89 Nehru Place,Gloucester,,Cheryl-haroldson,Mr.,,3/30/2018 16:21,https://www.linkedin,,,
,,scrm_3102017080,Le Passage To India Tours & Travel &Travel & Hospitalitys Private Limited,Mr. Arjun  Sharma,Kitzman,Director,3Chau-kitzman@gmail.com,120,120,9651,http://www.bentonjohnbjr.com,,,,,,,,E-29 Hauz Khas  ,Orleans,,Chau-kitzman,Mr.,,3/30/2018 16:21,https://www.linkedin,,,
,,scrm_3102017081,Mark & Space Telesystems Private Limited,Ms. Soshil Kumar Tyagi,Frey,Director,2Theola-frey@frey.com,120,120,0,http://www.chanayjeffreyaesq.com,,,,,,,,10th Floor 1002 Padma Tower - 15 Rajendra Place,Livingston,,Theola-frey,Ms.,,3/30/2018 16:21,https://www.linkedin,,,
,,scrm_3102017082,Mas Callnet India (P) LTD,Mr. Deepak  Kashyap,Haroldson,TECHNICAL DIRECTOR,1Cheryl-haroldson@haroldson.org,120,120,7017,http://www.chemeljameslcpa.com,,,,,,,,No 603 Siddharth Bldg 96 Nehru Place,Gloucester,,Cheryl-haroldson,Mr.,,3/30/2018 16:21,https://www.linkedin,,,
,,scrm_3102017083,Reliable Autotech,Mr. Saagar  Bhavsar,Kitzman,CTO,Chau-kitzman@gmail.com,120,120,9651,http://www.bentonjohnbjr.com,,,,,,,,Napp Township Narora  ,Orleans,,Chau-kitzman,Mr.,,3/30/2018 16:30,https://www.linkedin,,,
,,scrm_3102017084,Northern Railway,Mr. K  Kailash,Frey,CTO,Theola-frey@frey.com,120,120,0,http://www.chanayjeffreyaesq.com,,,,,,,,Baroda House  ,Livingston,,Theola-frey,Ms.,,3/30/2018 16:30,https://www.linkedin,,,
,,scrm_3102017085,Radiant Polymers Private Limited,Mr. Nitin  Bahl,Haroldson,Director,Cheryl-haroldson@haroldson.org,120,120,7017,http://www.chemeljameslcpa.com,,,,,,,,A - 4/7 - 8 Site Iv Sahibabad Industrial Area  ,Gloucester,,Cheryl-haroldson,Mr.,,3/30/2018 16:30,https://www.linkedin,,,
,,scrm_3102017086,RAJASTHAN SPINNING & WEAVING MILL LIMITED,Ashutosh Sharma,Kitzman,Director,3Chau-kitzman@gmail.com,120,120,9651,http://www.bentonjohnbjr.com,,,,,,,,Bhilwara Towers A-12 Sector - 1,Orleans,,Chau-kitzman,Mr.,,3/30/2018 16:30,https://www.linkedin,,,
,,scrm_3102017087,Rao Travel &Travel & Hospitalitys,Mr. Srinivas Rao,Frey,Chief Executive Officer,2Theola-frey@frey.com,120,120,0,http://www.chanayjeffreyaesq.com,,,,,,,,17 Vasant Enclavemarket,Livingston,,Theola-frey,Ms.,,3/30/2018 16:30,https://www.linkedin,,,
,,scrm_3102017088,Ritco Travel &Travel & Hospitalitys,Mr. Ashok  Agarwal,Haroldson,Chief Executive Officer,1Cheryl-haroldson@haroldson.org,120,120,7017,http://www.chemeljameslcpa.com,,,,,,,,Su - 20 Bhakaji Cama Bhawan Bhikaji Cama Place ,Gloucester,,Cheryl-haroldson,Mr.,,3/30/2018 16:30,https://www.linkedin,,,
,,scrm_3102017089,Schneider Electronic India Private Limited,Mr. Olivier  Blum,,CFO and Wholetime Director,,,,,,,,,,,,,Max House 2Nd Floor 1 Dr. Jha Marg Okhla,,,,,,,,,,
,,scrm_3102017090,GOLDWYN LTD,Mr. JAGPAL SHARMA,,Sr. Manager - IT,,,,,,,,,,,,,"15 & 16, Nsez, Noida, Uttar Pradesh 201305",,,,,,,,,,
,,scrm_3102017091,DLF GOLF & COUNTRY CLUB,Mr. Karan Bindra,,Managing Director,,,,,,,,,,,,,"DLF City, Phase-V",,,,,,,,,,
,,scrm_3102017092,National Textile Corpn ,Shri Vivek Plawat,,Chief Financial Officer,,,,,,,,,,,,,"Core 4, Scope Complex 7, Lodi Road",,,,,,,,,,
,,scrm_3102017093,Advance HydrauTech Private Limited,Mr. Sudhir Gupta,,Director,,,,,,,,,,,,,"Khasra No. 86/ 23, Village Ghevra, Near Hiran Kudna Mor, Mundka Udyog Nagar, Rohtak Road",,,,,,,,,,
,,scrm_3102017094,Spencer Retail Limited,Mr. Vipin Bhandari,,Chief Operating Officer,,,,,,,,,,,,,"LG 14, Crown Plaza, Sec - 15, Mathura Road",,,,,,,,,,
,,scrm_3102017095,Tata Ryerson Ltd,Mr. Manish Arora,,Managing Director,,,,,,,,,,,,,"Plot No 33 B, Bata Hardware Road, N I T, N I T",,,,,,,,,,
,,scrm_3102017096,ASEEM Global,Mr. Narender Kumar,,Managing Director,,,,,,,,,,,,,"5476, South Basti Harphool Singh
Sadar Thana Road, Sadar Bazar",,,,,,,,,,
,,scrm_3102017097,Cantabil Retail India,Mr. Vijay bansal,,Vice President,,,,,,,,,,,,,"B-47, Lawrence Road, Industrial Area",,,,,,,,,,
